 📈 [Anderson, Benjamin – ADF305] No completed events found - trainee at start of syllabus
 📈 [Anderson, Isabella – ADF302] No completed events found - trainee at start of syllabus
 📈 [Baker, Barbara – ADF303] No completed events found - trainee at start of syllabus
 📈 [Brown, Charles – ADF301] No completed events found - trainee at start of syllabus
 📈 [Brown, James – ADF304] No completed events found - trainee at start of syllabus
 📈 [Brown, John – ADF302] No completed events found - trainee at start of syllabus
 📈 [Brown, Mary – ADF303] No completed events found - trainee at start of syllabus
 📈 [Brown, Steven – ADF302] No completed events found - trainee at start of syllabus
 📈 [Carter, Barbara – FIC211] No completed events found - trainee at start of syllabus
 📈 [Carter, Chris – FIC211] No completed events found - trainee at start of syllabus
 📈 [Carter, Daniel – ADF305] No completed events found - trainee at start of syllabus
 📈 [Carter, Sarah – ADF303] No completed events found - trainee at start of syllabus
 📈 [Clark, Mia – ADF302] No completed events found - trainee at start of syllabus
 📈 [Davies, Elijah – FIC 210] No completed events found - trainee at start of syllabus
 📈 [Davies, Liam – ADF303] No completed events found - trainee at start of syllabus
 📈 [Davies, Mark – FIC211] No completed events found - trainee at start of syllabus
 📈 [Davies, Mary – ADF301] No completed events found - trainee at start of syllabus
 📈 [Edwards, Jennifer – ADF301] No completed events found - trainee at start of syllabus
 📈 [Edwards, Jessica – ADF305] No completed events found - trainee at start of syllabus
 📈 [Edwards, Luna – ADF302] No completed events found - trainee at start of syllabus
 📈 [Edwards, Richard – ADF305] No completed events found - trainee at start of syllabus
 📈 [Evans, Emma – ADF305] No completed events found - trainee at start of syllabus
 📈 [Evans, Joseph – ADF303] No completed events found - trainee at start of syllabus
 📈 [Evans, Linda – ADF302] No completed events found - trainee at start of syllabus
 📈 [Evans, Mia – ADF302] No completed events found - trainee at start of syllabus
 📈 [Evans, Olivia – ADF301] No completed events found - trainee at start of syllabus
 📈 [Evans, Sarah – IFF 6] No completed events found - trainee at start of syllabus
 📈 [Evans, Steven – ADF301] No completed events found - trainee at start of syllabus
 📈 [Green, Ava – ADF301] No completed events found - trainee at start of syllabus
 📈 [Green, Barbara – ADF301] No completed events found - trainee at start of syllabus
 📈 [Green, Benjamin – ADF303] No completed events found - trainee at start of syllabus
 📈 [Green, Patricia – ADF303] No completed events found - trainee at start of syllabus
 📈 [Hall, Ashley – ADF303] No completed events found - trainee at start of syllabus
 📈 [Hall, Patricia – ADF304] No completed events found - trainee at start of syllabus
 📈 [Harris, Matthew – ADF303] No completed events found - trainee at start of syllabus
 📈 [Harris, Noah – ADF301] No completed events found - trainee at start of syllabus
 📈 [Harris, Patricia – ADF304] No completed events found - trainee at start of syllabus
 📈 [Harris, William – FIC211] No completed events found - trainee at start of syllabus
 📈 [Hill, James – FIC211] No completed events found - trainee at start of syllabus
 📈 [Hill, Mary – ADF301] No completed events found - trainee at start of syllabus
 📈 [Hill, Matthew – ADF302] No completed events found - trainee at start of syllabus
 📈 [Jackson, Emma – ADF302] No completed events found - trainee at start of syllabus
 📈 [Jackson, Jennifer – FIC211] No completed events found - trainee at start of syllabus
 📈 [Jackson, Oliver – ADF303] No completed events found - trainee at start of syllabus
 📈 [Johnson, Charlotte – ADF303] No completed events found - trainee at start of syllabus
 📈 [Johnson, David – ADF303] No completed events found - trainee at start of syllabus
 📈 [Johnson, Isabella – ADF304] No completed events found - trainee at start of syllabus
 📈 [Johnson, Steven – FIC211] No completed events found - trainee at start of syllabus
 📈 [Jones, David – IFF 6] No completed events found - trainee at start of syllabus
 📈 [Jones, James – ADF302] No completed events found - trainee at start of syllabus
 📈 [Jones, Linda – ADF302] No completed events found - trainee at start of syllabus
 📈 [Jones, Steven – FIC211] No completed events found - trainee at start of syllabus
 📈 [King, Steven – ADF302] No completed events found - trainee at start of syllabus
 📈 [King, Susan – ADF301] No completed events found - trainee at start of syllabus
